,Unnamed: 0.1,Unnamed: 0,name,location,point,lat,lon,alt
0,0,0,"Estação Mercado, Porto Alegre","Mercado, Avenida Mauá, Centro Histórico, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90010-110, Brasil","-30.0262237, -51.2282361, 0.0",-30.0262237,-51.2282361,0
1,1,1,"Estação Rodoviária, Porto Alegre","Rodoviária, Faixa Portuária, Cais Mauá, Centro Histórico, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90030-130, Brasil","-30.022194, -51.2198891, 0.0",-30.022194,-51.2198891,0
2,2,2,"Estação São Pedro, Porto Alegre","São Pedro, Corredor de Transporte Coletivo Bento Gonçalves, Partenon, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90650-000, Brasil","-30.006648, -51.2091483, 0.0",-30.006648,-51.2091483,0
3,3,3,"Estação Farrapos, Porto Alegre","Farrapos, 5, Avenida Antônio Jacob Renner, Humaitá, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90245-000, Brasil","-29.9972741, -51.197491, 0.0",-29.9972741,-51.197491,0
4,4,4,"Estação Aeroporto, Porto Alegre","Aeroporto, Acesso a sede Trensurb, Humaitá, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90250-180, Brasil","-29.9877012, -51.1829539, 0.0",-29.9877012,-51.1829539,0
5,5,5,"Estação Anchieta, Porto Alegre","Estação Anchieta, Avenida Zaida Jarros, Anchieta, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90200-001, Brasil","-29.9763394, -51.178798555708255, 0.0",-29.9763394,-51.17879855570825,0
6,6,6,"Estação Niterói, Canoas","Estação Niterói, Rodovia BR-116, Canoas, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 92200-630, Brasil","-29.9540771, -51.1765898, 0.0",-29.9540771,-51.1765898,0
7,7,7,"Estação Fátima, Canoas","Fátima, Rodovia BR-116, Canoas, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 92110-454, Brasil","-29.9379795, -51.1773772, 0.0",-29.9379795,-51.1773772,0
8,8,8,"Estação Canoas, Canoas","Canoas, Estrada Doutor Francisco Pereira Lima, Canoas, Mococa, Região Imediata de São José do Rio Pardo-Mococa, Região Metropolitana de Ribeirão Preto, Região Geográfica Intermediária de Campinas, São Paulo, Região Sudeste, 13733-265, Brasil","-21.4314634, -46.9744009, 0.0",-21.4314634,-46.9744009,0
9,9,9,"Estação Mathias Velho, Canoas","Mathias Velho, Avenida Guilherme Schell, Centro, Canoas, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 92340-042, Brasil","-29.9037015, -51.1788273, 0.0",-29.9037015,-51.1788273,0
